Feature,Importance
employment_status,0.5182603
debt_to_income_ratio,0.06279165
credit_score,0.061566155
grade_subgrade,0.0372714
interest_rate,0.021533893
gender,0.020990802
current_balance,0.02087413
loan_amount_log,0.020551614
loan_purpose,0.020017277
monthly_income_log,0.019922128
age,0.019132312
total_credit_limit,0.019099342
delinquency_history,0.01902027
marital_status,0.01871902
annual_income,0.018452154
installment,0.018417528
num_of_open_accounts,0.018020019
loan_term,0.017733842
num_of_delinquencies,0.016917879
education_level,0.016456546
public_records,0.014251541
